State Code,County Code,Site Number
1,1,1
1,3,1
1,5,1
1,7,1
1,9,1
1,15,1
1,21,1
1,23,1
1,25,1
1,27,1
1,33,1
1,35,1
1,39,1
1,43,1
1,47,1
1,49,1
1,51,1
1,53,1
1,55,1
1,59,1
1,61,1
1,67,1
1,69,1
1,71,1
1,73,1
1,77,1
1,79,1
1,81,1
1,83,1
1,89,1
1,91,1
1,95,1
1,97,1
1,99,1
1,101,1
1,103,1
1,109,1
1,113,1
1,115,1
1,119,1
1,121,1
1,123,1
1,125,1
1,127,1
2,20,1
2,50,1
2,90,1
2,100,1
2,110,1
2,122,1
2,130,1
2,188,1
2,220,1
2,232,1
2,261,1
2,280,1
2,290,1
4,1,1
4,3,1
4,5,1
4,7,1
4,9,1
4,11,1
4,13,1
4,15,1
4,17,1
4,19,1
4,21,1
4,23,1
4,25,1
4,27,1
5,1,1
5,3,1
5,5,1
5,7,1
5,9,1
5,19,1
5,27,1
5,31,1
5,33,1
5,35,1
5,41,1
5,45,1
5,51,1
5,55,1
5,57,1
5,63,1
5,67,1
5,69,1
5,85,1
5,89,1
5,91,1
5,93,1
5,97,1
5,101,1
5,103,1
5,107,1
5,113,1
5,115,1
5,119,1
5,123,1
5,125,1
5,131,1
5,135,1
5,139,1
5,141,1
5,143,1
5,145,1
6,1,1
6,7,1
6,9,1
6,11,1
6,13,1
6,15,1
6,17,1
6,19,1
6,21,1
6,23,1
6,25,1
6,27,1
6,29,1
6,31,1
6,37,1
6,39,1
6,41,1
6,43,1
6,45,1
6,47,1
6,49,1
6,51,1
6,53,1
6,55,1
6,57,1
6,59,1
6,61,1
6,65,1
6,67,1
6,69,1
6,71,1
6,73,1
6,75,1
6,77,1
6,79,1
6,81,1
6,83,1
6,85,1
6,87,1
6,89,1
6,91,1
6,93,1
6,95,1
6,97,1
6,99,1
6,101,1
6,103,1
6,105,1
6,107,1
6,109,1
6,111,1
6,113,1
8,1,1
8,3,1
8,5,1
8,7,1
8,13,1
8,15,1
8,19,1
8,23,1
8,29,1
8,31,1
8,35,1
8,37,1
8,39,1
8,41,1
8,43,1
8,45,1
8,47,1
8,49,1
8,51,1
8,55,1
8,57,1
8,59,1
8,65,1
8,67,1
8,69,1
8,71,1
8,73,1
8,75,1
8,77,1
8,81,1
8,83,1
8,85,1
8,87,1
8,89,1
8,93,1
8,97,1
8,99,1
8,101,1
8,103,1
8,107,1
8,113,1
8,119,1
8,123,1
9,1,1
9,3,1
9,5,1
9,9,1
9,11,1
9,13,1
9,15,1
10,1,1
10,3,1
10,5,1
11,1,1
12,1,1
12,3,1
12,5,1
12,7,1
12,9,1
12,11,1
12,15,1
12,17,1
12,19,1
12,21,1
12,23,1
12,27,1
12,31,1
12,33,1
12,35,1
12,37,1
12,39,1
12,43,1
12,45,1
12,47,1
12,49,1
12,51,1
12,53,1
12,55,1
12,57,1
12,59,1
12,61,1
12,63,1
12,69,1
12,71,1
12,73,1
12,75,1
12,81,1
12,85,1
12,86,1
12,87,1
12,89,1
12,91,1
12,93,1
12,95,1
12,97,1
12,99,1
12,101,1
12,103,1
12,105,1
12,107,1
12,109,1
12,111,1
12,113,1
12,115,1
12,117,1
12,119,1
12,123,1
12,125,1
12,127,1
12,129,1
13,9,1
13,15,1
13,21,1
13,31,1
13,39,1
13,43,1
13,45,1
13,47,1
13,51,1
13,55,1
13,57,1
13,59,1
13,63,1
13,67,1
13,69,1
13,71,1
13,73,1
13,77,1
13,81,1
13,85,1
13,89,1
13,95,1
13,97,1
13,105,1
13,113,1
13,115,1
13,119,1
13,121,1
13,127,1
13,135,1
13,139,1
13,141,1
13,151,1
13,153,1
13,163,1
13,175,1
13,181,1
13,185,1
13,191,1
13,205,1
13,211,1
13,213,1
13,215,1
13,223,1
13,241,1
13,245,1
13,247,1
13,253,1
13,255,1
13,259,1
13,261,1
13,263,1
13,275,1
13,279,1
13,295,1
13,297,1
13,303,1
13,305,1
13,309,1
13,313,1
13,319,1
15,1,1
15,3,1
15,7,1
15,9,1
16,1,1
16,5,1
16,7,1
16,11,1
16,13,1
16,15,1
16,17,1
16,19,1
16,21,1
16,23,1
16,27,1
16,29,1
16,31,1
16,35,1
16,39,1
16,41,1
16,45,1
16,49,1
16,53,1
16,55,1
16,57,1
16,59,1
16,61,1
16,65,1
16,67,1
16,69,1
16,77,1
16,79,1
16,83,1
16,85,1
17,1,1
17,3,1
17,11,1
17,19,1
17,21,1
17,23,1
17,27,1
17,29,1
17,31,1
17,33,1
17,37,1
17,43,1
17,49,1
17,63,1
17,65,1
17,77,1
17,81,1
17,83,1
17,85,1
17,89,1
17,91,1
17,93,1
17,95,1
17,97,1
17,99,1
17,105,1
17,107,1
17,111,1
17,113,1
17,115,1
17,117,1
17,119,1
17,123,1
17,127,1
17,129,1
17,133,1
17,141,1
17,143,1
17,155,1
17,157,1
17,161,1
17,163,1
17,167,1
17,179,1
17,183,1
17,185,1
17,195,1
17,197,1
17,199,1
17,201,1
18,3,1
18,5,1
18,11,1
18,13,1
18,15,1
18,19,1
18,27,1
18,29,1
18,33,1
18,35,1
18,37,1
18,39,1
18,43,1
18,45,1
18,51,1
18,53,1
18,55,1
18,57,1
18,59,1
18,63,1
18,65,1
18,67,1
18,69,1
18,71,1
18,73,1
18,77,1
18,81,1
18,83,1
18,85,1
18,89,1
18,91,1
18,93,1
18,95,1
18,97,1
18,101,1
18,105,1
18,107,1
18,109,1
18,121,1
18,123,1
18,125,1
18,127,1
18,129,1
18,133,1
18,141,1
18,145,1
18,147,1
18,151,1
18,153,1
18,155,1
18,157,1
18,163,1
18,165,1
18,167,1
18,169,1
18,173,1
18,175,1
18,177,1
18,183,1
19,1,1
19,3,1
19,5,1
19,7,1
19,9,1
19,11,1
19,13,1
19,15,1
19,17,1
19,19,1
19,21,1
19,23,1
19,25,1
19,27,1
19,29,1
19,31,1
19,33,1
19,35,1
19,37,1
19,39,1
19,41,1
19,43,1
19,45,1
19,47,1
19,49,1
19,53,1
19,55,1
19,57,1
19,59,1
19,61,1
19,63,1
19,65,1
19,67,1
19,69,1
19,71,1
19,73,1
19,75,1
19,77,1
19,79,1
19,81,1
19,83,1
19,85,1
19,87,1
19,89,1
19,91,1
19,93,1
19,95,1
19,97,1
19,99,1
19,101,1
19,103,1
19,105,1
19,107,1
19,109,1
19,111,1
19,113,1
19,115,1
19,117,1
19,119,1
19,121,1
19,123,1
19,125,1
19,127,1
19,129,1
19,131,1
19,133,1
19,135,1
19,137,1
19,139,1
19,141,1
19,143,1
19,145,1
19,147,1
19,149,1
19,151,1
19,153,1
19,155,1
19,157,1
19,159,1
19,161,1
19,163,1
19,165,1
19,167,1
19,169,1
19,171,1
19,173,1
19,175,1
19,177,1
19,179,1
19,181,1
19,183,1
19,185,1
19,187,1
19,189,1
19,191,1
19,193,1
19,195,1
19,197,1
20,1,1
20,5,1
20,7,1
20,9,1
20,15,1
20,17,1
20,21,1
20,29,1
20,35,1
20,37,1
20,41,1
20,43,1
20,45,1
20,51,1
20,55,1
20,57,1
20,61,1
20,65,1
20,67,1
20,71,1
20,79,1
20,87,1
20,91,1
20,93,1
20,99,1
20,103,1
20,107,1
20,111,1
20,113,1
20,117,1
20,121,1
20,125,1
20,129,1
20,133,1
20,145,1
20,147,1
20,149,1
20,155,1
20,161,1
20,169,1
20,173,1
20,175,1
20,177,1
20,181,1
20,191,1
20,193,1
20,195,1
20,205,1
20,209,1
21,7,1
21,9,1
21,13,1
21,15,1
21,19,1
21,21,1
21,29,1
21,31,1
21,33,1
21,35,1
21,37,1
21,39,1
21,41,1
21,43,1
21,47,1
21,49,1
21,51,1
21,61,1
21,67,1
21,71,1
21,73,1
21,75,1
21,77,1
21,83,1
21,85,1
21,87,1
21,89,1
21,91,1
21,93,1
21,95,1
21,97,1
21,101,1
21,103,1
21,105,1
21,107,1
21,111,1
21,113,1
21,117,1
21,121,1
21,125,1
21,127,1
21,139,1
21,141,1
21,143,1
21,145,1
21,149,1
21,151,1
21,157,1
21,161,1
21,163,1
21,167,1
21,169,1
21,177,1
21,179,1
21,183,1
21,185,1
21,187,1
21,191,1
21,193,1
21,195,1
21,199,1
21,205,1
21,207,1
21,209,1
21,211,1
21,213,1
21,219,1
21,221,1
21,223,1
21,227,1
21,233,1
21,235,1
21,239,1
22,11,1
22,17,1
22,19,1
22,27,1
22,29,1
22,33,1
22,35,1
22,39,1
22,43,1
22,47,1
22,49,1
22,51,1
22,55,1
22,57,1
22,63,1
22,65,1
22,67,1
22,71,1
22,73,1
22,77,1
22,79,1
22,85,1
22,87,1
22,89,1
22,93,1
22,95,1
22,99,1
22,101,1
22,103,1
22,105,1
22,109,1
22,117,1
22,121,1
22,127,1
23,1,1
23,3,1
23,5,1
23,7,1
23,9,1
23,11,1
23,13,1
23,15,1
23,17,1
23,19,1
23,21,1
23,23,1
23,25,1
23,27,1
23,29,1
23,31,1
23,901,1
24,1,1
24,3,1
24,5,1
24,9,1
24,13,1
24,15,1
24,17,1
24,19,1
24,21,1
24,23,1
24,25,1
24,27,1
24,31,1
24,33,1
24,37,1
24,43,1
24,45,1
24,510,1
25,1,1
25,3,1
25,5,1
25,7,1
25,9,1
25,11,1
25,13,1
25,15,1
25,17,1
25,19,1
25,21,1
25,23,1
25,25,1
25,27,1
26,3,1
26,5,1
26,7,1
26,17,1
26,19,1
26,21,1
26,23,1
26,25,1
26,27,1
26,29,1
26,31,1
26,35,1
26,37,1
26,41,1
26,43,1
26,45,1
