"State Code","County Code","Site Num","Parameter Code","POC","Latitude","Longitude","Datum","Parameter Name","Date Local","Time Local","Date GMT","Time GMT","Sample Measurement","Units of Measure","MDL","Uncertainty","Qualifier","Method Type","Method Code","Method Name","State Name","County Name","Date of Last Change"
"01","053","1000","62201",1,31.0921,-87.5435,"NAD83","Relative Humidity ","2019-03-07","11:00","2019-03-07","17:00",0.8,"Percent relative humidity",0.1,"","","Non-FRM","060","Instrumental - Vaisala 435C RH/AT Sensor","Alabama","Escambia","2020-03-04"
"01","053","1000","62201",1,31.0921,-87.5435,"NAD83","Relative Humidity ","2019-03-07","12:00","2019-03-07","18:00",0.8,"Percent relative humidity",0.1,"","","Non-FRM","060","Instrumental - Vaisala 435C RH/AT Sensor","Alabama","Escambia","2020-03-04"
"01","053","1000","62201",1,31.0921,-87.5435,"NAD83","Relative Humidity ","2019-03-07","13:00","2019-03-07","19:00",0.7,"Percent relative humidity",0.1,"","","Non-FRM","060","Instrumental - Vaisala 435C RH/AT Sensor","Alabama","Escambia","2020-03-04"
"01","053","1000","62201",1,31.0921,-87.5435,"NAD83","Relative Humidity ","2019-03-07","14:00","2019-03-07","20:00",0.8,"Percent relative humidity",0.1,"","","Non-FRM","060","Instrumental - Vaisala 435C RH/AT Sensor","Alabama","Escambia","2020-03-04"
"01","053","1000","62201",1,31.0921,-87.5435,"NAD83","Relative Humidity ","2019-03-07","15:00","2019-03-07","21:00",0.7,"Percent relative humidity",0.1,"","","Non-FRM","060","Instrumental - Vaisala 435C RH/AT Sensor","Alabama","Escambia","2020-03-04"
"01","053","1000","62201",1,31.0921,-87.5435,"NAD83","Relative Humidity ","2019-03-07","16:00","2019-03-07","22:00",0.8,"Percent relative humidity",0.1,"","","Non-FRM","060","Instrumental - Vaisala 435C RH/AT Sensor","Alabama","Escambia","2020-03-04"
"01","053","1000","62201",1,31.0921,-87.5435,"NAD83","Relative Humidity ","2019-03-07","17:00","2019-03-07","23:00",0.8,"Percent relative humidity",0.1,"","","Non-FRM","060","Instrumental - Vaisala 435C RH/AT Sensor","Alabama","Escambia","2020-03-04"
"01","053","1000","62201",1,31.0921,-87.5435,"NAD83","Relative Humidity ","2019-03-07","18:00","2019-03-08","00:00",0.7,"Percent relative humidity",0.1,"","","Non-FRM","060","Instrumental - Vaisala 435C RH/AT Sensor","Alabama","Escambia","2020-03-04"
"01","053","1000","62201",1,31.0921,-87.5435,"NAD83","Relative Humidity ","2019-03-07","19:00","2019-03-08","01:00",0.8,"Percent relative humidity",0.1,"","","Non-FRM","060","Instrumental - Vaisala 435C RH/AT Sensor","Alabama","Escambia","2020-03-04"
"01","053","1000","62201",1,31.0921,-87.5435,"NAD83","Relative Humidity ","2019-03-07","20:00","2019-03-08","02:00",0.8,"Percent relative humidity",0.1,"","","Non-FRM","060","Instrumental - Vaisala 435C RH/AT Sensor","Alabama","Escambia","2020-03-04"
